"CustomerName","CustomerId","Domain","LicenseSKU","SkuPartNumber","ActiveUnits","ConsumedUnits","AvailableUnits","SuspendedUnits","WarningUnits","Status"
"OTU WA CNE - 103985","1c7c5c7f-8a07-43d2-a34b-018e9dccf1b5","otuwacne103985.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103985","1c7c5c7f-8a07-43d2-a34b-018e9dccf1b5","otuwacne103985.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103985","1c7c5c7f-8a07-43d2-a34b-018e9dccf1b5","otuwacne103985.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103984","720321f9-abf7-4f35-b95f-865ea1129e66","otuwacne103984.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103984","720321f9-abf7-4f35-b95f-865ea1129e66","otuwacne103984.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103984","720321f9-abf7-4f35-b95f-865ea1129e66","otuwacne103984.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103984","720321f9-abf7-4f35-b95f-865ea1129e66","otuwacne103984.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103983","6c747e2a-2cfa-4353-83c2-2f96e8658e7f","otuwacne103983.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103983","6c747e2a-2cfa-4353-83c2-2f96e8658e7f","otuwacne103983.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103983","6c747e2a-2cfa-4353-83c2-2f96e8658e7f","otuwacne103983.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103983","6c747e2a-2cfa-4353-83c2-2f96e8658e7f","otuwacne103983.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103981","ee874972-3931-442f-94f1-194077ab5509","otuwacne103981.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103981","ee874972-3931-442f-94f1-194077ab5509","otuwacne103981.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103981","ee874972-3931-442f-94f1-194077ab5509","otuwacne103981.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103981","ee874972-3931-442f-94f1-194077ab5509","otuwacne103981.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103980","d0a39780-539a-4a6e-b2de-b736b0620bbf","otuwacne103980.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103980","d0a39780-539a-4a6e-b2de-b736b0620bbf","otuwacne103980.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103980","d0a39780-539a-4a6e-b2de-b736b0620bbf","otuwacne103980.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103980","d0a39780-539a-4a6e-b2de-b736b0620bbf","otuwacne103980.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103979","5d6cad3a-51ac-4226-9127-86b1f2fd974f","otuwacne103979.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103979","5d6cad3a-51ac-4226-9127-86b1f2fd974f","otuwacne103979.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103979","5d6cad3a-51ac-4226-9127-86b1f2fd974f","otuwacne103979.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103979","5d6cad3a-51ac-4226-9127-86b1f2fd974f","otuwacne103979.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103978","996de039-3941-4d35-8d36-c1019a0c004e","otuwacne103978.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103978","996de039-3941-4d35-8d36-c1019a0c004e","otuwacne103978.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103978","996de039-3941-4d35-8d36-c1019a0c004e","otuwacne103978.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103978","996de039-3941-4d35-8d36-c1019a0c004e","otuwacne103978.onmicrosoft.com",,,"1","1","0","2","0","OK"
"OTU WA CNE - 103977","3a6c6a6f-0ec1-41d3-ae2f-6c8619ccca0f","otuwacne103977.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 103977","3a6c6a6f-0ec1-41d3-ae2f-6c8619ccca0f","otuwacne103977.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 103977","3a6c6a6f-0ec1-41d3-ae2f-6c8619ccca0f","otuwacne103977.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 103977","3a6c6a6f-0ec1-41d3-ae2f-6c8619ccca0f","otuwacne103977.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 103976","62ee6aee-b2fe-49e5-bf86-99d42ea82bcb","otuwacne103976.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103976","62ee6aee-b2fe-49e5-bf86-99d42ea82bcb","otuwacne103976.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103976","62ee6aee-b2fe-49e5-bf86-99d42ea82bcb","otuwacne103976.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 103976","62ee6aee-b2fe-49e5-bf86-99d42ea82bcb","otuwacne103976.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103975","bebe3aa5-8e16-452a-83bb-be5947d6f98c","otuwacne103975.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103975","bebe3aa5-8e16-452a-83bb-be5947d6f98c","otuwacne103975.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103975","bebe3aa5-8e16-452a-83bb-be5947d6f98c","otuwacne103975.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 103975","bebe3aa5-8e16-452a-83bb-be5947d6f98c","otuwacne103975.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103974","b784a8bb-38ad-4d23-91dc-6fa18f32aaf1","otuwacne103974.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 103974","b784a8bb-38ad-4d23-91dc-6fa18f32aaf1","otuwacne103974.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 103974","b784a8bb-38ad-4d23-91dc-6fa18f32aaf1","otuwacne103974.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 103974","b784a8bb-38ad-4d23-91dc-6fa18f32aaf1","otuwacne103974.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 103973","8397a0cc-e938-47e8-8eb6-10d147fa7c9a","otuwacne103973.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103973","8397a0cc-e938-47e8-8eb6-10d147fa7c9a","otuwacne103973.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103973","8397a0cc-e938-47e8-8eb6-10d147fa7c9a","otuwacne103973.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103973","8397a0cc-e938-47e8-8eb6-10d147fa7c9a","otuwacne103973.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103972","c00a3fea-3972-4c63-a250-22a96d8af04d","otuwacne103972.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103972","c00a3fea-3972-4c63-a250-22a96d8af04d","otuwacne103972.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103972","c00a3fea-3972-4c63-a250-22a96d8af04d","otuwacne103972.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103972","c00a3fea-3972-4c63-a250-22a96d8af04d","otuwacne103972.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103971","ac3439e7-a87c-4d49-9ce6-e160f843b335","otuwacne103971.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 103971","ac3439e7-a87c-4d49-9ce6-e160f843b335","otuwacne103971.onmicrosoft.com",,,"0","1","0","1","0","OK"
